TileSize,MatrixSize,Instructions,Cycles,IPC,L1-dcache-loads,L1-dcache-load-misses,L1-miss-rate-percent,Branch-instructions,Branch-misses,Branch-miss-rate-percent,Cache-references,Cache-misses,Cache-miss-rate-percent,Context-switches,TimeElapsedSeconds
2,256,146477227,94783763,1.55,37158529.67,17124431.0,46.08,19456722.67,84277.0,0.43,31019.0,12664.67,40.83,0.0,0.02
2,257,148132159,72475537,2.04,37576374.67,2194959.67,5.84,19671549.67,85243.33,0.43,27899.33,8984.67,32.21,0.0,0.02
2,300,231880051,114710900,2.02,58705343.0,3456231.33,5.89,30511606.67,111308.0,0.36,44016.33,14316.0,33.23,0.0,0.03
2,301,234136200,116166958,2.02,59274196.67,3514540.67,5.93,30802947.33,111499.67,0.36,161560.33,15799.67,17.82,0.0,0.03
2,400,538238994,275058614,1.96,135856301.0,57698238.0,42.47,69892465.0,185810.0,0.27,4105609.0,40232.67,0.98,0.0,0.07
2,401,542207136,276332611,1.96,136854760.67,8481527.67,6.2,70400911.67,186695.67,0.27,2541901.33,37163.67,1.47,0.0,0.07
2,512,1115095669,1233958969,0.9,280889552.0,135109235.33,48.1,143584292.33,293678.67,0.2,123513985.0,77754.67,0.06,0.0,0.28
2,513,1121551044,567993903,1.97,282511581.0,23360326.33,8.27,144407076.0,296316.0,0.2,16165615.0,67953.33,0.42,0.0,0.13
2,800,4193261317,2346702760,1.79,1053459580.33,543293548.33,51.57,534215344.33,698845.33,0.13,65106947.67,344185.0,0.53,0.0,0.53
2,801,4208877400,2205229847,1.91,1057376432.0,593179026.0,56.1,536192183.0,701161.0,0.13,64554199.67,408378.33,0.63,0.0,0.5
2,1024,8747646703,10705892681,0.82,2195331420.33,1197970451.67,54.57,1109850800.33,1134022.0,0.1,972067732.67,8326963.0,0.86,0.0,2.4
2,1025,8773139705,4886657794,1.8,2201720682.0,1138333089.67,51.7,1113068724.0,1136541.0,0.1,135116730.33,2062168.67,1.53,0.0,1.1
2,1200,14039623576,8640553243,1.62,3521463423.67,1925159001.33,54.67,1777418790.67,1551571.0,0.09,217246063.33,40121782.33,18.47,0.0,1.94
2,1201,14074567617,11036738125,1.3,3530218686.0,2063706059.67,58.46,1781824040.0,1556697.0,0.09,217677509.67,30424047.33,13.97,0.0,2.49
2,1500,27335462006,20080614298,1.36,6851916612.33,3989695533.0,58.22,3451961679.33,2417721.0,0.07,425262260.33,161656161.33,38.01,0.0,4.5
2,1501,27389942592,28642555823,0.96,6865561259.67,4048986366.33,58.98,3458818812.67,2418175.33,0.07,425232300.67,154838350.67,36.41,0.0,6.42
2,1800,47137929882,32080896795,1.47,11810470859.33,6873956031.0,58.2,5942625626.33,3482445.67,0.06,730752246.67,468916997.33,64.17,0.0,7.17
2,1801,47216268413,57565661550,0.82,11830086275.67,6994267866.67,59.12,5952476029.67,3488337.67,0.06,735892564.67,431796328.33,58.68,0.0,12.9
2,2000,64594368882,46997341527,1.37,16180673879.33,8926972151.67,55.17,8136468446.33,4286832.67,0.05,1019156178.67,665413801.67,65.29,0.0,10.54
2,2001,64691010939,77978141601,0.83,16204868059.67,9583696242.0,59.14,8148612613.67,4286284.33,0.05,1007340219.67,696960436.0,69.2,0.0,17.48
2,2048,69342609260,287528939930,0.24,17369304743.67,8991838726.33,51.77,8733027326.67,4502474.67,0.05,8369077455.33,5961601710.0,71.23,0.0,64.29
2,2049,69443912788,84938334061,0.82,17394652178.0,10223883604.0,58.78,8745740636.0,4494953.0,0.05,1077952113.33,768813179.33,71.32,0.0,19.04
2,2400,111446757000,91220327689,1.22,27907885563.67,14919138267.0,53.46,14020319729.33,6421562.33,0.04,1888166235.67,1429030280.33,75.69,0.0,20.49
2,2401,111585765285,149908366187,0.74,27942676420.67,16560389231.67,59.27,14037770574.67,6168022.67,0.04,1746858958.33,1344117224.67,76.95,0.0,33.5
2,2700,158545109185,126529226725,1.25,39694738955.33,22956493640.33,57.83,19931342822.33,7806108.67,0.04,2511774355.0,2047173819.0,81.51,0.0,28.33
2,2701,158720938755,215933825194,0.74,39738743939.67,23442893796.0,58.99,19953410293.67,7805746.0,0.04,2488200385.33,2034507647.67,81.77,0.0,48.26
2,3000,217334094045,159730217946,1.36,54405696636.0,31585145382.67,58.05,27306490203.33,9672927.67,0.04,3524263324.33,2974964320.67,84.41,0.0,35.76
2,3001,217551061153,287922984806,0.76,54459991998.67,32012215092.67,58.78,27333710552.67,9636868.33,0.04,3422134285.33,2967773559.67,86.72,0.0,64.58
