LocalityHint,TableSize,PrefetchDistance,cycles,Instructions,cache-misses,LLC-load-misses,l2_rqsts.miss,L1-dcache-load-misses,Time
0,1000000,4,3182959286,10853324090,2184014,2793,13955320,8047697,111 microseconds
0,1000000,8,3189333753,10853329988,2182803,2275,13951617,8048215,114 microseconds
0,1000000,12,3221676390,10853321443,2178886,2732,13952647,8050842,136 microseconds
0,1000000,16,3189049606,10853322426,2175366,2769,13956618,8048921,122 microseconds
0,1000000,20,3173140687,10853324075,2184052,2882,13952403,8046653,123 microseconds
0,1000000,24,3183652179,10853331438,2184082,2760,13950247,8047419,119 microseconds
0,1000000,28,3150614165,10853332834,2180781,2991,13949123,8045470,121 microseconds
0,6000000,4,19402980160,65134706206,13223902,7822,83550437,48193717,153 microseconds
0,6000000,8,19224342293,65134728594,13243454,7263,83567040,48163069,175 microseconds
0,6000000,12,19301855188,65134683518,13106077,5977,83484792,48140175,127 microseconds
0,6000000,16,19177761237,65134728504,13039841,5220,83466932,48128482,125 microseconds
0,6000000,20,18944427973,65134674258,13029096,5255,83464042,48100245,123 microseconds
0,6000000,24,19096851904,65134715227,13062301,5726,83473170,48116792,127 microseconds
0,6000000,28,19061397396,65134660454,13021529,5403,83458750,48090632,131 microseconds
0,10000000,4,32667849531,108564509161,21638129,8958,139205317,80287240,131 microseconds
0,10000000,8,32705872102,108564474061,21641936,9199,139222196,80267202,132 microseconds
0,10000000,12,32687180016,108564454928,21628437,9101,139222778,80270539,128 microseconds
0,10000000,16,32927994062,108564478097,21623094,9622,139260347,80313147,143 microseconds
0,10000000,20,32680185212,108564504843,21650017,9563,139214151,80303300,141 microseconds
0,10000000,24,32745281685,108564494402,21669974,9394,139219694,80273984,146 microseconds
0,10000000,28,32374587234,108564586825,21627607,9852,139239593,80272056,145 microseconds
1,1000000,4,3210883558,10853325332,2200577,3179,13965529,8060777,117 microseconds
1,1000000,8,3178042459,10853320964,2184392,2615,13956570,8048761,120 microseconds
1,1000000,12,3160844542,10853323189,2192929,2355,13956110,8048446,193 microseconds
1,1000000,16,3159741708,10853330451,2191264,2864,13957256,8047991,114 microseconds
1,1000000,20,3153129571,10853320279,2194553,2997,13951871,8046644,285 microseconds
1,1000000,24,3160260673,10853326753,2186063,2837,13949786,8046916,122 microseconds
1,1000000,28,3210798642,10853313666,2188730,3059,13957129,8049631,133 microseconds
1,6000000,4,19260109094,65134670424,13013249,4661,83477402,48109385,127 microseconds
1,6000000,8,19162972710,65134705963,13031692,4736,83475854,48102681,121 microseconds
1,6000000,12,19569391658,65134799272,12973520,5040,83484111,48132069,129 microseconds
1,6000000,16,19183137328,65134748120,13056229,5167,83465187,48107890,122 microseconds
1,6000000,20,19048451394,65134643977,13024033,5553,83462020,48094688,127 microseconds
1,6000000,24,19225379344,65134632615,13052570,6036,83473621,48122352,127 microseconds
1,6000000,28,19169669619,65134679687,13041555,5465,83448439,48086635,122 microseconds
1,10000000,4,32726485814,108564511240,21688008,8744,139205089,80267248,127 microseconds
1,10000000,8,32737076387,108564534685,21693331,9010,139204958,80255365,128 microseconds
1,10000000,12,32512118886,108564394047,21642238,8692,139192184,80242568,137 microseconds
1,10000000,16,32487780106,108564508580,21715995,9786,139217883,80302389,135 microseconds
1,10000000,20,32349837215,108564458816,21701653,9522,139224542,80266679,137 microseconds
1,10000000,24,32391023792,108564541075,21700715,9956,139231598,80282376,137 microseconds
1,10000000,28,32764918531,108564380716,21663373,9845,139246457,80321294,145 microseconds
2,1000000,4,3171595603,10853335682,2200546,3281,13964351,8053774,296 microseconds
2,1000000,8,3159979456,10853324076,2194447,2865,13955478,8048723,119 microseconds
2,1000000,12,3166516407,10853324646,2194081,2302,13951243,8046510,161 microseconds
2,1000000,16,3162313725,10853325154,2194429,2932,13957596,8048752,117 microseconds
2,1000000,20,3174002625,10853331212,2186708,3045,13954425,8047640,118 microseconds
2,1000000,24,3202366866,10853337975,2205074,3112,13963358,8059381,120 microseconds
2,1000000,28,3167243043,10853323361,2192582,3205,13962735,8054634,127 microseconds
2,6000000,4,19141543072,65134671385,13058561,4314,83461280,48091211,118 microseconds
2,6000000,8,19182911812,65134687244,13020385,4831,83452944,48087797,119 microseconds
2,6000000,12,19128143051,65134702015,13017718,4977,83459006,48090203,119 microseconds
2,6000000,16,18986982452,65134639041,12987082,5447,83479291,48108685,126 microseconds
2,6000000,20,19159719339,65134706299,13043718,5640,83469969,48101171,129 microseconds
2,6000000,24,18944570403,65134623911,13052368,5254,83462965,48096400,120 microseconds
2,6000000,28,19040023878,65134711792,13008486,5051,83460413,48086130,131 microseconds
2,10000000,4,32725695863,108564456645,21629584,9123,139219665,80285861,128 microseconds
2,10000000,8,32580862804,108564435392,21624053,8725,139217930,80315738,133 microseconds
2,10000000,12,32785616633,108564469763,21700871,9544,139248648,80326644,132 microseconds
2,10000000,16,32713375862,108564357824,21703389,9890,139212504,80267302,138 microseconds
2,10000000,20,32366463737,108564488271,21622022,9379,139222367,80299807,176 microseconds
2,10000000,24,32349724700,108564393368,21636508,9413,139201081,80248259,200 microseconds
2,10000000,28,32375898335,108564560014,21707107,9835,139209181,80260949,177 microseconds
3,1000000,4,3188741156,10853325626,2192970,3505,13971010,8070819,154 microseconds
3,1000000,8,3166426838,10853332102,2190497,2649,13961209,8054645,118 microseconds
3,1000000,12,3173606497,10853324551,2187127,2706,13955342,8048074,119 microseconds
3,1000000,16,3160799730,10853327981,2193792,2795,13959555,8050281,121 microseconds
3,1000000,20,3178334740,10853327981,2185325,2540,13953961,8048255,170 microseconds
3,1000000,24,3205286876,10853320259,2185799,2643,13960841,8050306,126 microseconds
3,1000000,28,3208480235,10853333500,2203408,3342,13961212,8054230,185 microseconds
3,6000000,4,19282039905,65134586859,12989729,4647,83477329,48116516,127 microseconds
3,6000000,8,19160495037,65134680182,13043805,4573,83455885,48100434,122 microseconds
3,6000000,12,19151462891,65134622073,13034848,4776,83460531,48090328,121 microseconds
3,6000000,16,19140806275,65134747441,12961646,5323,83487218,48104210,129 microseconds
3,6000000,20,19279258536,65134702215,12901377,5590,83493497,48138039,135 microseconds
3,6000000,24,18905491567,65134651162,12906070,5105,83449401,48087080,126 microseconds
3,6000000,28,19245940608,65134705002,12902806,5184,83483036,48120839,132 microseconds
3,10000000,4,32502819552,108564378548,21568946,8983,139239992,80289664,129 microseconds
3,10000000,8,32461242591,108564480161,21582213,8673,139213665,80292316,138 microseconds
3,10000000,12,32821990045,108564472978,21567321,9088,139268211,80335765,138 microseconds
3,10000000,16,32805903018,108564490996,21552109,9641,139257479,80299038,149 microseconds
3,10000000,20,32701327723,108564397724,21642468,10101,139223665,80273128,136 microseconds
3,10000000,24,32332802346,108564558207,21606743,9846,139215884,80270224,143 microseconds
3,10000000,28,32489284963,108564492555,21767275,13194,139284992,80318895,147 microseconds
