TileSize,MatrixSize,Instructions,Cycles,IPC,L1-dcache-loads,L1-dcache-load-misses,L1-miss-rate-percent,Branch-instructions,Branch-misses,Branch-miss-rate-percent,Cache-references,Cache-misses,Cache-miss-rate-percent,Context-switches,TimeElapsedMs,TimeElapsedSeconds
2,256,54770964,55424406,0.99,24645125.0,16961747.0,68.83,6880913.0,84504.33,1.23,37431.67,14055.33,37.33,0.0,10.0,0.01
2,257,56139604,32809980,1.71,25163141.33,2213549.67,8.8,7058685.33,85281.67,1.21,36589.0,15880.33,43.46,0.0,5.67,0.005666666666666667
2,300,84117023,49416042,1.7,38550134.33,3491612.33,9.06,10264998.67,111145.0,1.08,52983.67,22631.33,42.74,0.0,10.0,0.01
2,301,86019081,49754686,1.73,39255882.0,3603458.0,9.18,10511125.33,111759.0,1.06,51422.0,22329.67,43.35,0.0,10.33,0.010333333333333333
2,400,187540531,150783827,1.25,88022354.0,58979172.67,67.01,21896718.0,185893.67,0.85,3391886.67,120501.67,3.74,0.0,31.0,0.031
2,401,190876525,113287254,1.69,89263326.33,8543161.67,9.57,22324869.33,186562.33,0.84,2329156.33,49970.33,2.21,0.0,23.0,0.023000000000000003
2,512,379021914,1091054607,0.35,180495818.67,134859957.0,74.72,42926166.67,294324.67,0.69,124242613.67,103590.0,0.09,0.0,235.67,0.23566666666666666
2,513,384438729,244544647,1.57,182514266.33,21629396.33,11.85,43617489.33,296015.67,0.68,15838874.33,92636.33,0.58,0.0,47.0,0.04700000000000001
2,800,1382420533,1990626234,0.69,670110111.67,530400259.0,79.15,150222475.67,698361.67,0.46,67184821.33,339042.33,0.51,0.0,429.0,0.429
2,801,1395492395,1220020600,1.14,674992103.67,565728704.67,83.81,151878846.33,699907.33,0.46,66690840.33,313381.0,0.47,0.0,254.0,0.254
2,1024,2850504268,8685365014,0.33,1391086547.33,1077812547.0,77.48,304553058.33,1134144.33,0.37,968228390.33,4260553.67,0.44,0.0,1907.67,1.9076666666666666
2,1025,2871823134,2510964598,1.14,1399055235.67,961979393.67,68.76,307246079.67,1136592.33,0.37,135097649.67,1843994.0,1.36,0.0,535.0,0.535
2,1200,4547199866,5715387327,0.8,2226917830.33,1855666108.33,83.33,481428197.33,1551286.33,0.32,255661232.67,14323557.67,5.61,0.0,1246.33,1.2463333333333335
2,1201,4576407597,6795322628,0.68,2237840842.0,2007524865.0,89.71,485112788.0,1553895.0,0.32,301811083.0,43164412.67,14.15,0.0,1477.0,1.477
2,1500,8791030659,12515139140,0.7,4322933480.67,3850647372.67,89.08,920722347.67,2414761.67,0.26,577896232.67,257904761.0,44.61,0.0,2731.67,2.731666666666667
2,1501,8836540349,18121403898,0.48,4339962318.0,3952450497.67,91.07,926453163.0,2418007.67,0.26,675974431.33,304412943.33,44.98,0.0,3983.33,3.983333333333334
2,1800,15087930073,22130532978,0.68,7439729365.67,6690512779.33,89.93,1568636732.67,3469373.33,0.22,999590250.67,550574328.0,55.08,0.0,4850.33,4.8503333333333325
2,1801,15153342270,35390637251,0.43,7464214571.33,6869697583.33,92.03,1576864317.33,3473487.33,0.22,1286424242.33,691358871.33,53.74,0.0,7810.33,7.810333333333333
2,2000,20626458276,49345985283,0.42,10184694988.67,8656219027.67,84.99,2136481355.67,4279311.0,0.2,1271971701.33,1040402562.33,81.8,0.0,10910.67,10.910666666666666
2,2001,20707137196,47989570851,0.43,10214899493.33,9136639548.33,89.44,2146621839.33,4284364.0,0.2,1779232189.33,1034740930.67,58.17,0.0,10594.33,10.594333333333333
2,2048,22131612293,269267476822,0.08,10931067088.0,8623221386.0,78.89,2290586975.0,4487777.0,0.2,8348611580.67,5517317048.0,66.09,0.0,60400.33,60.40033333333333
2,2049,22216178350,43122181045,0.52,10962718559.33,10032368349.67,91.51,2301201369.33,4491317.33,0.2,1109090375.33,708823902.67,63.91,0.0,9507.0,9.507
2,2400,35460937861,84363589783,0.42,17545664935.33,14358228005.67,81.83,3652329301.33,6156436.0,0.17,2195341981.0,1599173722.67,72.84,0.0,18790.0,18.790000000000003
2,2401,35576952880,92404654705,0.38,17589110686.67,16002177003.67,90.98,3666898232.67,6159791.33,0.17,2995137085.67,2202283395.33,73.53,0.0,20457.67,20.457666666666665
2,2700,50347042229,91164620864,0.55,24939800603.67,22404646024.0,89.83,5169103467.67,7786645.0,0.15,3744476977.67,2476022419.0,66.12,0.0,20148.33,20.148333333333333
2,2701,50493760584,119393832313,0.42,24994753565.0,22472665469.67,89.91,5187520011.0,7793266.33,0.15,4009285139.67,2480409426.67,61.86,0.0,26651.33,26.65133333333333
2,3000,68906216356,116364407875,0.59,34164717659.67,30496873910.33,89.26,7056499026.67,9605107.0,0.14,3819564041.67,3160538181.67,82.75,0.0,25706.33,25.706333333333333
2,3001,69087238024,170209487514,0.41,34232527790.67,30715761678.33,89.73,7079213136.67,9616876.33,0.14,4681275960.67,3890359886.33,83.1,0.0,37728.33,37.72833333333333
